BUSINESS_DATE,START_DATE,END_DATE,DAYS_DIFF,COMPOSITE_REPO_RATE,FINAL_OUTPUT
2025-05-06,2025-05-06,2025-05-07,1,4.3473617,4.380642695784074
2025-05-06,2025-05-07,2025-05-08,1,4.3583495,4.375634664177444
2025-05-06,2025-05-07,2025-05-09,2,4.4000002,4.375493932712552
2025-05-06,2025-05-08,2025-05-09,1,4.4000009,4.356650743132247
2025-05-06,2025-05-07,2025-05-13,6,4.3967164,4.385584104858058
2025-05-06,2025-05-06,2025-05-16,10,4.3799998,4.391768286552667
2025-05-06,2025-05-07,2025-05-20,13,4.4000002,4.393219868983596
2025-05-06,2025-05-06,2025-05-21,15,4.4100002,4.391980306247087
2025-05-06,2025-05-07,2025-05-21,14,4.4,4.395563382778691
2025-05-06,2025-05-07,2025-05-27,20,4.3912443,4.382603906622486
2025-05-06,2025-05-07,2025-05-28,21,4.3579999,4.392173313277849
2025-05-06,2025-05-06,2025-05-30,24,4.4,4.388035819634602
2025-05-06,2025-05-07,2025-05-30,23,4.3725001,4.392808567744542
2025-05-06,2025-05-07,2025-06-02,26,4.4187439,4.390888716434111
2025-05-06,2025-05-07,2025-06-06,30,4.4300001,4.391509335893107
2025-05-06,2025-05-07,2025-06-13,37,4.42,4.389718827666393
2025-05-06,2025-05-07,2025-08-15,100,4.3915022,4.382188035598824
2025-05-06,2025-05-15,2025-08-15,92,4.3764901,4.384660075954596
2025-05-06,2025-08-15,2025-10-15,61,4.3764901,4.376668465676386
2025-05-06,2025-10-15,2025-12-15,61,4.3764901,4.376668465676386
2025-05-06,2025-12-15,2026-02-17,64,4.3764901,4.377874892507838
2025-05-06,2026-02-17,2026-04-17,59,4.3764901,4.377082354750059
2025-05-06,2026-04-17,2026-06-17,61,4.3764901,4.376668465676386
2025-05-06,2026-06-17,2026-08-17,61,4.3764901,4.376668465676386
2025-05-06,2026-08-17,2026-10-19,63,4.3764901,4.376791799712228
2025-05-06,2026-10-19,2026-12-21,63,4.3764901,4.376791799712228
2025-05-06,2026-12-21,2027-02-22,63,4.3764901,4.376791799712228
2025-05-06,2027-02-22,2027-04-22,59,4.3764901,4.377082354750059
2025-05-06,2027-04-22,2027-06-22,61,4.3764901,4.376668465676384
